site_id,site_name,bom_id,role,asset_ref,planned_instances,source_state,validation_status,exclusion
SS_001,Attacker Spawn and Extraction,OT_VEG_001,Dry grass,source://FAB_P1A_015/dry_grass_tbbqejqr_high,2,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_002,Dry Canal Entrance,OT_ARCH_001,Plain wall skins and caps,map-owned://MOD_WALL_02,4,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_002,Dry Canal Entrance,OT_ARCH_001,Plain wall skins and caps,map-owned://MOD_WALL_04,4,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_002,Dry Canal Entrance,OT_DECAL_003,Ground breakup and dust edges,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,10,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_002,Dry Canal Entrance,OT_GROUND_001,Small rock ground patch,project:///Game/Fab/Megascans/3D/Military_Trenches_Ground_Patch_Rock_S_04_yd0lfcq/Medium/SM_yd0lfcq_tier_2/StaticMeshes/SM_yd0lfcq_tier_2,16,existing_project_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_002,Dry Canal Entrance,OT_GROUND_005,Medium desert rock,source://FAB_P1A_014/desert_western_rock_medium_08_uk4cdch_high,8,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_002,Dry Canal Entrance,OT_GROUND_006,Rocky terrain edge,project:///Game/Fab/Megascans/3D/Sandstone_Rocky_Ground_vmjjfiv/Medium/vmjjfiv_tier_2/StaticMeshes/vmjjfiv_tier_2,8,existing_project_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_002,Dry Canal Entrance,OT_TAC_007,Existing-cover art skins,map-owned://APPROVED_COVER_SKIN_02,4,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_002,Dry Canal Entrance,OT_UTIL_006,Drain covers and outlets,map-owned://MOD_UTIL_02,6,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_002,Dry Canal Entrance,OT_VEG_001,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_A,9,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_002,Dry Canal Entrance,OT_VEG_001,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_B,10,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_002,Dry Canal Entrance,OT_VEG_001,Dry grass,source://FAB_P1A_015/dry_grass_tbbqejqr_high,9,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_ARCH_003,Parapet roof and balcony trims,map-owned://MOD_ROOF_01,2,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_ARCH_003,Parapet roof and balcony trims,map-owned://MOD_ROOF_02,3,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_ARCH_003,Parapet roof and balcony trims,map-owned://MOD_ROOF_03,2,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_ARCH_003,Parapet roof and balcony trims,map-owned://MOD_ROOF_04,3,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_ARCH_003,Parapet roof and balcony trims,map-owned://MOD_ROOF_05,2,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_DECAL_001,Plaster damage patches,project:///Game/Maps/Sunscar/Art/Quixel/Damage/DamagedPlaster/vdekajsfw_tier_2/StaticMeshes/vdekajsfw_tier_2,8,existing_project_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_DECAL_006,Oil water and service stains,source://FAB_SUP_003/oil_stain_sdjmigi_4k,4,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_GROUND_002,Corner rubble patch,source://FAB_P1A_012/military_trenches_debris_patch_rock_corner_ydyqbjds_high,16,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_SCRAP_003,Rusty barrels,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Aba_Storage_Barrel_Metal_Buckled_01/SM_Ind_Aba_Storage_Barrel_Metal_Buckled_01,2,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_SCRAP_003,Rusty barrels,source://FAB_P1A_018/rusty_metal_barrel_teufceuda_high,2,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_TAC_007,Existing-cover art skins,map-owned://APPROVED_COVER_SKIN_01,2,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_UTIL_001,Small electrical box,source://FAB_P1A_002/electrical_box_tdgecegda_high,4,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_UTIL_002,Medium electrical enclosure,source://FAB_P1A_003/electric_box_ullibjd_high,2,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_UTIL_003,Large electrical cabinet,source://FAB_P1A_004/electrical_cabinet_ujzfde2_high,2,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_UTIL_004,Pipe straight/elbow network,map-owned://MOD_UTIL_01,3,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_UTIL_006,Drain covers and outlets,source://FAB_P1A_005/round_drain_cover_sdus0qk_4k,5,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_UTIL_007,Roof vents antenna and masts,map-owned://MOD_ROOF_03,1,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_UTIL_007,Roof vents antenna and masts,map-owned://MOD_ROOF_04,1,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_UTIL_008,Tanks pumps and secondary equipment,source://FAB_P0_021/metal_water_tank_wdklears_high,4,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_VEG_001,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_A,2,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_VEG_001,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_B,3,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_003,Canal Pump Station,OT_VEG_001,Dry grass,source://FAB_P1A_015/dry_grass_tbbqejqr_high,3,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_ARCH_001,Plain wall skins and caps,map-owned://MOD_WALL_02,8,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_ARCH_001,Plain wall skins and caps,map-owned://MOD_WALL_04,10,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_ARCH_003,Parapet roof and balcony trims,map-owned://MOD_ROOF_01,2,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_ARCH_003,Parapet roof and balcony trims,map-owned://MOD_ROOF_02,2,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_ARCH_003,Parapet roof and balcony trims,map-owned://MOD_ROOF_03,2,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_ARCH_003,Parapet roof and balcony trims,map-owned://MOD_ROOF_04,1,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_ARCH_003,Parapet roof and balcony trims,map-owned://MOD_ROOF_05,1,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_DECAL_001,Plaster damage patches,project:///Game/Maps/Sunscar/Art/Quixel/Damage/DamagedPlaster/vdekajsfw_tier_2/StaticMeshes/vdekajsfw_tier_2,14,existing_project_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_FURN_001,Wooden table,source://FAB_P1B_009/wooden_table_veigfjmaw_high,3,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_FURN_002,Metal stool,source://FAB_P1B_008/old_metal_stool_ukknbeyaw_high,4,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_FURN_003,Wooden bench,source://FAB_P1B_010/wooden_bench_vlroadt_high,2,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_FURN_004,Tarp shade panels,map-owned://MOD_BAZ_04,1,map_owned_definition,map_owned_fallback_selected,Two paid tarp listings remain excluded; canopy underside at least 2.5 m
SS_004,Tea House,OT_FURN_004,Tarp shade panels,project:///Game/Maps/Sunscar/Art/Materials/Instances/MI_OT_Canvas,1,existing_project_asset,map_owned_fallback_selected,Two paid tarp listings remain excluded; canopy underside at least 2.5 m
SS_004,Tea House,OT_FURN_005,Canopy support poles,map-owned://MOD_BAZ_05,4,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_FURN_006,Market containers baskets and goods,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Box_Metal_S/StaticMeshes/SM_Mil_Trench_Storage_Box_Metal_S,1,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_FURN_006,Market containers baskets and goods,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Con_Oil_Plastic_Pack_02/SM_Ind_Con_Oil_Plastic_Pack_02_A,2,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_GROUND_002,Corner rubble patch,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Debris_Patch_Rock_Corner/StaticMeshes/SM_Mil_Trench_Debris_Patch_Rock_Corner,18,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_TAC_005,Crate and pallet cover,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Crate_Wood_M_01/StaticMeshes/SM_Mil_Trench_Storage_Crate_Wood_M_01,1,staged_pack_asset,offline_candidate_stack_and_collision_validation_required,No climb chains into protected roofs
SS_004,Tea House,OT_TAC_005,Crate and pallet cover,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Crate_Wood_M_02/StaticMeshes/SM_Mil_Trench_Storage_Crate_Wood_M_02_A,1,staged_pack_asset,offline_candidate_stack_and_collision_validation_required,No climb chains into protected roofs
SS_004,Tea House,OT_TAC_005,Crate and pallet cover,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Crate_Wood_S_01/StaticMeshes/SM_Mil_Trench_Storage_Crate_Wood_S_01_A,1,staged_pack_asset,offline_candidate_stack_and_collision_validation_required,No climb chains into protected roofs
SS_004,Tea House,OT_TAC_005,Crate and pallet cover,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Crate_Wood_S_02/StaticMeshes/SM_Mil_Trench_Storage_Crate_Wood_S_02,1,staged_pack_asset,offline_candidate_stack_and_collision_validation_required,No climb chains into protected roofs
SS_004,Tea House,OT_UTIL_005,Conduit cable and wall run,map-owned://MOD_UTIL_03,6,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_UTIL_009,Lamps poles and fixtures,map-owned://OT_LAMP_01,1,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_UTIL_009,Lamps poles and fixtures,map-owned://OT_POLE_01,1,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_VEG_001,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_A,2,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_VEG_001,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_B,2,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_004,Tea House,OT_VEG_001,Dry grass,source://FAB_P1A_015/dry_grass_tbbqejqr_high,2,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_005,Old Clinic,OT_ARCH_001,Plain wall skins and caps,map-owned://MOD_WALL_01,22,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_005,Old Clinic,OT_ARCH_001,Plain wall skins and caps,map-owned://MOD_WALL_03,22,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_005,Old Clinic,OT_DECAL_001,Plaster damage patches,project:///Game/Maps/Sunscar/Art/Quixel/Damage/DamagedPlaster/vdekajsfw_tier_2/StaticMeshes/vdekajsfw_tier_2,22,existing_project_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_005,Old Clinic,OT_FURN_001,Wooden table,source://FAB_P1B_009/wooden_table_veigfjmaw_high,3,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_005,Old Clinic,OT_FURN_006,Market containers baskets and goods,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Con_Oil_Plastic_Pack_02/SM_Ind_Con_Oil_Plastic_Pack_02_A,1,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_005,Old Clinic,OT_GROUND_002,Corner rubble patch,source://FAB_P1A_012/military_trenches_debris_patch_rock_corner_ydyqbjds_high,20,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_005,Old Clinic,OT_TAC_007,Existing-cover art skins,map-owned://APPROVED_COVER_SKIN_01,2,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_005,Old Clinic,OT_UTIL_001,Small electrical box,source://FAB_P1A_002/electrical_box_tdgecegda_high,3,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_005,Old Clinic,OT_UTIL_005,Conduit cable and wall run,map-owned://MOD_UTIL_03,5,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_005,Old Clinic,OT_VEG_001,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_A,2,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_005,Old Clinic,OT_VEG_001,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_B,3,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_005,Old Clinic,OT_VEG_001,Dry grass,source://FAB_P1A_015/dry_grass_tbbqejqr_high,3,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_006,Water Tower Compound,OT_ARCH_001,Plain wall skins and caps,map-owned://MOD_WALL_02,17,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_006,Water Tower Compound,OT_ARCH_001,Plain wall skins and caps,map-owned://MOD_WALL_04,17,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_006,Water Tower Compound,OT_DECAL_002,Rust grime and utility leaks,source://FAB_SUP_002/mud_stain_wbhtagkv_4k,12,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_006,Water Tower Compound,OT_GROUND_001,Small rock ground patch,project:///Game/Fab/Megascans/3D/Military_Trenches_Ground_Patch_Rock_S_04_yd0lfcq/Medium/SM_yd0lfcq_tier_2/StaticMeshes/SM_yd0lfcq_tier_2,14,existing_project_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_006,Water Tower Compound,OT_GROUND_005,Medium desert rock,source://FAB_P1A_014/desert_western_rock_medium_08_uk4cdch_high,8,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_006,Water Tower Compound,OT_GROUND_006,Rocky terrain edge,project:///Game/Fab/Megascans/3D/Sandstone_Rocky_Ground_vmjjfiv/Medium/vmjjfiv_tier_2/StaticMeshes/vmjjfiv_tier_2,6,existing_project_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_006,Water Tower Compound,OT_TAC_007,Existing-cover art skins,map-owned://APPROVED_COVER_SKIN_02,8,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_006,Water Tower Compound,OT_UTIL_004,Pipe straight/elbow network,map-owned://MOD_UTIL_02,10,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_006,Water Tower Compound,OT_UTIL_007,Roof vents antenna and masts,map-owned://MOD_ROOF_04,2,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_006,Water Tower Compound,OT_UTIL_008,Tanks pumps and secondary equipment,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Jun_Tank_Metal_Rusty_01/SM_Ind_Jun_Tank_Metal_Rusty_01,4,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_006,Water Tower Compound,OT_VEG_001,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_A,4,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_006,Water Tower Compound,OT_VEG_001,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_B,4,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_006,Water Tower Compound,OT_VEG_001,Dry grass,source://FAB_P1A_015/dry_grass_tbbqejqr_high,4,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_ARCH_001,Plain wall skins and caps,map-owned://MOD_WALL_01,33,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_ARCH_001,Plain wall skins and caps,map-owned://MOD_WALL_03,33,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_DECAL_001,Plaster damage patches,project:///Game/Maps/Sunscar/Art/Quixel/Damage/DamagedPlaster/vdekajsfw_tier_2/StaticMeshes/vdekajsfw_tier_2,30,existing_project_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_FURN_006,Market containers baskets and goods,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Box_Metal_S/StaticMeshes/SM_Mil_Trench_Storage_Box_Metal_S,1,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_FURN_006,Market containers baskets and goods,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Box_Wood_S/StaticMeshes/SM_Mil_Trench_Storage_Box_Wood_S,2,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_FURN_006,Market containers baskets and goods,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Con_Oil_Plastic_Pack_02/SM_Ind_Con_Oil_Plastic_Pack_02_A,1,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_FURN_006,Market containers baskets and goods,/Game/Scene_Junkyard/Assets/MS/3D/Ind_War_Container_Jerrycan_Metal_Red_03/SM_Ind_War_Container_Jerrycan_Metal_Red_03,1,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_FURN_006,Market containers baskets and goods,/Game/Scene_Junkyard/Assets/MS/3D/Ind_War_Storage_Tray_Plastic_Green_01/SM_Ind_War_Storage_Tray_Plastic_Green_01,1,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_GROUND_002,Corner rubble patch,source://FAB_P1A_012/military_trenches_debris_patch_rock_corner_ydyqbjds_high,22,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_GROUND_007,Small rubble variant set,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Scatter_Rock_S_01/StaticMeshes/SM_Mil_Trench_Scatter_Rock_S_01,3,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_GROUND_007,Small rubble variant set,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Scatter_Rock_S_03/StaticMeshes/SM_Mil_Trench_Scatter_Rock_S_03,2,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_GROUND_007,Small rubble variant set,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Scatter_Rock_S_05/StaticMeshes/SM_Mil_Trench_Scatter_Rock_S_05,1,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_TAC_007,Existing-cover art skins,map-owned://APPROVED_COVER_SKIN_01,2,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_UTIL_001,Small electrical box,source://FAB_P1A_002/electrical_box_tdgecegda_high,3,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_UTIL_005,Conduit cable and wall run,map-owned://MOD_UTIL_03,7,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_UTIL_007,Roof vents antenna and masts,map-owned://MOD_ROOF_03,1,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_007,Municipal Hotel,OT_UTIL_007,Roof vents antenna and masts,map-owned://MOD_ROOF_04,1,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
