order,source_record_id,listing_name,listing_id,publisher,price_snapshot_usd,acquisition_tier,acquire_when,primary_roles
16,FAB_P1B_014,Asphalt Debris Pack,00f021df-e2f7-45ba-b3df-5dd40f671fe6,Quixel Megascans,0.00,Free secondary,Before dressing,"small road-edge debris"
17,FAB_P1A_011,Military Trenches Ground Patch Rock S 04,d8aded40-25c6-40ec-9d10-6e5e15053222,Quixel Megascans,0.00,Free core,Before natural dressing,"small ground breakup"
18,FAB_P1A_012,Military Trenches Debris Patch Rock Corner,9c255b4f-d759-4504-bb68-3371d657d23f,Quixel Megascans,0.00,Free core,Before natural dressing,"wall-corner rubble"
19,FAB_P1A_013,Sandstone Rocky Ground,d6c87516-52ea-40d0-a3e5-c1e52d4ad88f,Quixel Megascans,0.00,Free secondary,Before perimeter dressing,"large terrain-edge patch"
20,FAB_P1A_014,Desert Western Rock Medium 08,11700737-077c-416b-a005-53d0b5e1e285,Quixel Megascans,0.00,Free secondary,Before perimeter dressing,"medium perimeter rock"
21,FAB_P1A_015,Dry Grass,472c99c7-2d67-4190-9ad4-3bb04cfc80f3,Quixel Megascans,0.00,Free core,Before PCG dressing,"sparse dry vegetation"
22,FAB_P1A_016,Dried Grass,1b83d08e-77fd-4885-9dce-32d8658b5559,Quixel Megascans,0.00,Free secondary,Before PCG dressing,"vegetation ground blend"
23,FAB_P1A_017,Desert Debris,5502b77c-2ffa-40b6-9101-6010e062f09c,Quixel Megascans,0.00,Free secondary,Before dressing,"tiny desert debris"
24,FAB_P1A_002,Electrical Box,70113afd-ffec-42ca-87eb-75b90e5b1962,Quixel Megascans,0.00,Free core,Before utility dressing,"small electrical fixture"
25,FAB_P1A_003,Electric Box,ba988202-afd9-4a98-94d0-4c4b7644b51f,Quixel Megascans,0.00,Free core,Before utility dressing,"medium electrical enclosure"
26,FAB_P1A_004,Electrical Cabinet,252bd8cb-2469-4e2f-9e39-5ddaf9324539,Quixel Megascans,0.00,Free core,Before utility dressing,"large equipment cabinet"
27,FAB_P1A_005,Round Drain Cover,16f36535-a188-4989-8d1c-5bb790290378,Quixel Megascans,0.00,Free secondary,Before utility dressing,"ground utility accent"
28,FAB_P1A_018,Rusty Metal Barrel,0e8e7e30-23e3-47ec-86a0-fc69ea0b8d65,Quixel Megascans,0.00,Free core,Before tactical dressing,"industrial waist prop"
29,FAB_P1A_019,Old Shovel,37895234-35a6-4998-9c80-0f1290f0c3e4,Quixel Megascans,0.00,Free secondary,Before dressing,"storytelling prop"
30,FAB_P0_021,Metal Water Tank,d5439ef4-1863-45d1-a441-7ead394a805e,Quixel Megascans,0.00,Free secondary,Before roof dressing,"secondary utility tank"
31,FAB_P1B_001,Old Wooden Door,df0f97f7-8482-4a67-b31c-a4c9fb5db017,Quixel Megascans,0.00,Free core,Before opening pass,"plain pedestrian door candidate"
32,FAB_P1B_004,Garage Door,8d31d799-0d73-4786-9937-174b68facded,Quixel Megascans,0.00,Free core,Before opening pass,"garage and shutter surface"
33,FAB_P1B_005,Tarp,c7d0f2e1-e22c-4025-86f3-480e0cb2aa14,Quixel Megascans,0.00,Free core,Before bazaar pass,"neutral canopy material"
34,FAB_P1B_006,Tarp,b2709451-71c6-4424-bb5a-457f5d912d9e,Quixel Megascans,0.00,Free secondary,Before bazaar pass,"weathered canopy material"
35,FAB_P1B_008,Old Metal Stool,468006bf-c2b0-4b3f-a88a-3aa793b04749,Quixel Megascans,0.00,Free secondary,Before domestic dressing,"small seat"
36,FAB_P1B_009,Wooden Table,d69f8adb-3357-4d67-bdde-1235045a8072,Quixel Megascans,0.00,Free secondary,Before domestic dressing,"tea/vendor table"
37,FAB_P1B_010,Wooden Bench,98dd22d3-e329-4e35-ae5c-11b46e51c0cd,Quixel Megascans,0.00,Free secondary,Before domestic dressing,"low bench/platform"
101,FAB_P0_009,Residential South Asian Door Wood Old,721d9be4-6c98-41e5-ad1f-6ba581d1e9f7,Quixel Megascans,2.99,Deferred paid,After free-door preview,"Tea House hero door"
102,FAB_P0_012,Historic Desert Ruin Floor Sand Coarse 01,4efcffc7-1314-4dd3-98b4-e4869c2149ec,Quixel Megascans,0.99,Deferred paid,After ground blend preview,"canal silt; courtyard sand"
103,FAB_P0_013,Historic Pakistan Street Wall Brick White 01,f372a8f7-bc3d-4819-b8e7-5ffb1d270b7e,Quixel Megascans,0.99,Deferred paid,After facade preview,"exposed masonry accent"
104,FAB_P0_014,Historic Desert Ruin Wall Modular Set,c87e9984-c2db-442d-bdc3-52c5bf4634b8,Quixel Megascans,2.99,Deferred paid,After historic edge preview,"historic wall accent"
105,FAB_P0_015,Historic Desert Ruin Arch Stone Carved 08,8b6404bf-1081-4a7d-ac19-36f46bfd76fc,Quixel Megascans,2.99,Deferred paid,After opening socket check,"Detention hero arch"
106,FAB_P0_006,Urban Shanty Town Sheet Metal Corrugated 03,df083ff1-8b87-4a38-86ff-b53c301a42fb,Quixel Megascans,4.99,Deferred paid,After free corrugated/Junkyard preview,"full-height fence and stall panel"
107,FAB_P0_007,Urban Miscellaneous Crate Slatted Wood Medium 01,8962cc96-af93-40b5-ac5b-48e1e5784168,Quixel Megascans,4.99,Deferred paid,After Junkyard preview,"medium crate stacks"
108,FAB_P0_008,Urban Miscellaneous Plank Scaffold Wood Long 01,b52065e0-fe76-4346-9ecf-1e133d31b5f0,Quixel Megascans,4.99,Deferred paid,After Junkyard preview,"shade support; repair plank"
109,FAB_P1A_006,Urban Miscellaneous Pipe Drain Metal Weathered,2f29ce10-cbab-47da-b760-41c07c0435df,Quixel Megascans,4.99,Deferred paid,After map-owned pipe preview,"2.44 m drainpipe"
110,FAB_P1B_007,Industrial Abandoned Factory Vent Air Metal Rusted 01,7d5730c4-d38f-4f52-83ab-2a178756a09f,Quixel Megascans,2.99,Deferred paid,After roof silhouette review,"roof vent"
