priority,asset_ref,source_state,planned_instances,sites,bom_ids,classes,action,required_checks
P0_connected_slice,project:///Game/Fab/Megascans/3D/Military_Trenches_Ground_Patch_Rock_S_04_yd0lfcq/Medium/SM_yd0lfcq_tier_2/StaticMeshes/SM_yd0lfcq_tier_2,existing_project_asset,60,SS_002;SS_006;SS_008,OT_GROUND_001,ground,Verify existing project path and reuse; do not duplicate,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,project:///Game/Fab/Megascans/Surfaces/Crushed_Asphalt_Ground_sjyjcbja/Medium/sjyjcbja_tier_2/Materials/MI_sjyjcbja,existing_project_asset,material_or_dependency,connected_visual_slice,NON_INSTANCE_DEPENDENCY,material_or_support,Verify existing project path and reuse; do not duplicate,Reuse existing worn-ground material; physical scale; channel packing; rendered result; dependency scope
P0_connected_slice,project:///Game/Fab/Megascans/Surfaces/Weathered_Concrete_Wall_vi4idbm/Medium/vi4idbm_tier_2/Materials/MI_vi4idbm,existing_project_asset,material_or_dependency,connected_visual_slice,NON_INSTANCE_DEPENDENCY,material_or_support,Verify existing project path and reuse; do not duplicate,Reuse existing concrete material; physical scale; channel packing; rendered result; dependency scope
P0_connected_slice,project:///Game/Maps/Sunscar/Art/Materials/Instances/MI_OT_Canvas,existing_project_asset,2,SS_004;SS_017,OT_FURN_004,furniture,Verify existing project path and reuse; do not duplicate,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,project:///Game/Maps/Sunscar/Art/Quixel/CorrugatedBarrier/SM_ydxnbdns_tier_2/StaticMeshes/SM_ydxnbdns_tier_2,existing_project_asset,material_or_dependency,connected_visual_slice,NON_INSTANCE_DEPENDENCY,material_or_support,Verify existing project path and reuse; do not duplicate,Reuse existing corrugated panel; physical scale; channel packing; rendered result; dependency scope
P0_connected_slice,project:///Game/Maps/Sunscar/Art/Quixel/Damage/DamagedPlaster/vdekajsfw_tier_2/StaticMeshes/vdekajsfw_tier_2,existing_project_asset,82,SS_003;SS_004;SS_005;SS_007;SS_010,OT_DECAL_001,decal,Verify existing project path and reuse; do not duplicate,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,project:///Game/Maps/Sunscar/Art/Quixel/Sandbags/SM_ydxlcck_tier_2/StaticMeshes/SM_ydxlcck_tier_2,existing_project_asset,26,SS_001;SS_010;SS_011,OT_TAC_001,tactical,Verify existing project path and reuse; do not duplicate,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,map-owned://APPROVED_COVER_SKIN_01,map_owned_definition,44,SS_003;SS_005;SS_007;SS_009;SS_013;SS_015;SS_017,OT_TAC_007,tactical,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_BAZ_01,map_owned_definition,5,SS_017,OT_ARCH_005,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_BAZ_02,map_owned_definition,6,SS_017,OT_ARCH_005,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_BAZ_03,map_owned_definition,13,SS_017,OT_ARCH_005;OT_FURN_004,architecture;furniture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_BAZ_04,map_owned_definition,9,SS_004;SS_017,OT_ARCH_005;OT_FURN_004,architecture;furniture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_BAZ_05,map_owned_definition,25,SS_004;SS_017,OT_ARCH_005;OT_FURN_005,architecture;furniture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_DOOR_01,map_owned_definition,25,SS_010;SS_011;SS_012;SS_013;SS_015,OT_ARCH_002,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_OPEN_01,map_owned_definition,25,SS_010;SS_011;SS_012;SS_013;SS_015,OT_ARCH_002,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_OPEN_02,map_owned_definition,27,SS_010;SS_011;SS_012;SS_013;SS_015,OT_ARCH_002,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_ROOF_01,map_owned_definition,22,SS_003;SS_004;SS_016;SS_017;SS_018,OT_ARCH_003,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_ROOF_02,map_owned_definition,23,SS_003;SS_004;SS_015;SS_016;SS_017;SS_018,OT_ARCH_003,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_ROOF_03,map_owned_definition,26,SS_003;SS_004;SS_007;SS_013;SS_015;SS_016;SS_017;SS_018,OT_ARCH_003;OT_UTIL_007,architecture;utility,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_ROOF_04,map_owned_definition,31,SS_003;SS_004;SS_006;SS_007;SS_013;SS_015;SS_016;SS_017;SS_018,OT_ARCH_003;OT_UTIL_007,architecture;utility,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_ROOF_05,map_owned_definition,28,SS_003;SS_004;SS_007;SS_013;SS_015;SS_016;SS_017;SS_018,OT_ARCH_003;OT_UTIL_007,architecture;utility,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_SIGN_01,map_owned_definition,6,SS_017,OT_DECAL_004,decal,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_SIGN_02,map_owned_definition,42,SS_010;SS_012;SS_018,OT_DECAL_004,decal,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_UTIL_02,map_owned_definition,51,SS_002;SS_006;SS_008;SS_016;SS_018,OT_UTIL_004;OT_UTIL_006,utility,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_UTIL_03,map_owned_definition,70,SS_004;SS_005;SS_007;SS_010;SS_011;SS_012;SS_014;SS_016;SS_017;SS_018,OT_UTIL_005,utility,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_WALL_01,map_owned_definition,55,SS_005;SS_007,OT_ARCH_001,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_WALL_02,map_owned_definition,64,SS_002;SS_004;SS_006;SS_008;SS_010;SS_014,OT_ARCH_001,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_WALL_03,map_owned_definition,55,SS_005;SS_007,OT_ARCH_001,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_WALL_04,map_owned_definition,66,SS_002;SS_004;SS_006;SS_008;SS_010;SS_014,OT_ARCH_001,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://MOD_WIN_01,map_owned_definition,26,SS_010;SS_011;SS_012;SS_013;SS_015,OT_ARCH_002,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://OT_DESERT_DEBRIS_CARD_02,map_owned_definition,19,SS_008;SS_016,OT_GROUND_004,ground,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://OT_DESERT_DEBRIS_CARD_04,map_owned_definition,17,SS_008;SS_016,OT_GROUND_004,ground,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://OT_FIXTURE_01,map_owned_definition,7,SS_001;SS_009;SS_011;SS_017;SS_019;SS_020,OT_UTIL_009,utility,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://OT_LAMP_01,map_owned_definition,6,SS_001;SS_004;SS_008;SS_011;SS_019;SS_020,OT_UTIL_009,utility,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,map-owned://OT_POLE_01,map_owned_definition,7,SS_004;SS_009;SS_011;SS_017,OT_UTIL_009,utility,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Debris_Patch_Rock_Corner/StaticMeshes/SM_Mil_Trench_Debris_Patch_Rock_Corner,staged_pack_asset,18,SS_004,OT_GROUND_002,ground,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Scatter_Rock_S_01/StaticMeshes/SM_Mil_Trench_Scatter_Rock_S_01,staged_pack_asset,22,SS_007;SS_011;SS_017;SS_019,OT_GROUND_007,ground,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Scatter_Rock_S_02/StaticMeshes/SM_Mil_Trench_Scatter_Rock_S_02,staged_pack_asset,26,SS_010;SS_012;SS_018;SS_020,OT_GROUND_007,ground,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Scatter_Rock_S_03/StaticMeshes/SM_Mil_Trench_Scatter_Rock_S_03,staged_pack_asset,20,SS_007;SS_011;SS_017;SS_019,OT_GROUND_007,ground,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Scatter_Rock_S_04/StaticMeshes/SM_Mil_Trench_Scatter_Rock_S_04,staged_pack_asset,25,SS_010;SS_012;SS_018;SS_020,OT_GROUND_007,ground,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Scatter_Rock_S_05/StaticMeshes/SM_Mil_Trench_Scatter_Rock_S_05,staged_pack_asset,22,SS_007;SS_011;SS_017;SS_019,OT_GROUND_007,ground,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Scatter_Rock_S_06/StaticMeshes/SM_Mil_Trench_Scatter_Rock_S_06,staged_pack_asset,25,SS_010;SS_012;SS_018;SS_020,OT_GROUND_007,ground,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Box_Metal_S/StaticMeshes/SM_Mil_Trench_Storage_Box_Metal_S,staged_pack_asset,8,SS_004;SS_007;SS_008;SS_009;SS_010;SS_012;SS_017,OT_FURN_006,furniture,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Box_Wood_S/StaticMeshes/SM_Mil_Trench_Storage_Box_Wood_S,staged_pack_asset,13,SS_007;SS_009;SS_012;SS_013;SS_017;SS_018,OT_FURN_006,furniture,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Crate_Wood_M_01/StaticMeshes/SM_Mil_Trench_Storage_Crate_Wood_M_01,staged_pack_asset,16,SS_004;SS_008;SS_013;SS_015,OT_SCRAP_005;OT_TAC_005,industrial;tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Crate_Wood_M_02/StaticMeshes/SM_Mil_Trench_Storage_Crate_Wood_M_02_A,staged_pack_asset,4,SS_004;SS_008;SS_013,OT_TAC_005,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Crate_Wood_M_02/StaticMeshes/SM_Mil_Trench_Storage_Crate_Wood_M_02_B,staged_pack_asset,4,SS_008;SS_013,OT_TAC_005,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Crate_Wood_S_01/StaticMeshes/SM_Mil_Trench_Storage_Crate_Wood_S_01_A,staged_pack_asset,5,SS_004;SS_008;SS_013,OT_TAC_005,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Storage_Crate_Wood_S_02/StaticMeshes/SM_Mil_Trench_Storage_Crate_Wood_S_02,staged_pack_asset,4,SS_004;SS_008;SS_013,OT_TAC_005,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Plants/Des_West_Grass_Wild_01/StaticMeshes/SM_Des_West_Grass_Wild_01_A,staged_pack_asset,12,SS_017;SS_019,OT_VEG_003,vegetation,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_A,staged_pack_asset,35,SS_001;SS_002;SS_003;SS_004;SS_005;SS_006;SS_007;SS_008;SS_009,OT_VEG_001,vegetation,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_B,staged_pack_asset,38,SS_001;SS_002;SS_003;SS_004;SS_005;SS_006;SS_007;SS_008;SS_009,OT_VEG_001,vegetation,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_C,staged_pack_asset,28,SS_009;SS_011;SS_013;SS_015;SS_017,OT_VEG_002,vegetation,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_D,staged_pack_asset,46,SS_010;SS_012;SS_014;SS_016,OT_VEG_002,vegetation,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Con_Oil_Plastic_Pack_02/SM_Ind_Con_Oil_Plastic_Pack_02_A,staged_pack_asset,12,SS_004;SS_005;SS_007;SS_008;SS_012;SS_013;SS_017,OT_FURN_006,furniture,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Jun_Cover_Metal_Painted_05/SM_Ind_Jun_Cover_Metal_Painted_05,staged_pack_asset,10,SS_015;SS_017,OT_SCRAP_006,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Jun_Spring_Metal_Rusty_01/SM_Ind_Jun_Spring_Metal_Rusty_01,staged_pack_asset,19,SS_013;SS_015;SS_017,OT_SCRAP_001;OT_SCRAP_006,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/Scene_Junkyard/Assets/MS/3D/Ind_War_Container_Jerrycan_Metal_Red_03/SM_Ind_War_Container_Jerrycan_Metal_Red_03,staged_pack_asset,9,SS_007;SS_008;SS_009;SS_010;SS_012;SS_013;SS_017;SS_018,OT_FURN_006,furniture,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,/Game/Scene_Junkyard/Assets/MS/3D/Ind_War_Storage_Tray_Plastic_Green_01/SM_Ind_War_Storage_Tray_Plastic_Green_01,staged_pack_asset,8,SS_007;SS_009;SS_012;SS_013;SS_017,OT_FURN_006,furniture,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,source://FAB_P0_021/metal_water_tank_wdklears_high,downloaded_source_import_pending,5,SS_003;SS_015,OT_UTIL_008,utility,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,source://FAB_P1A_003/electric_box_ullibjd_high,downloaded_source_import_pending,12,SS_003;SS_011;SS_016;SS_018,OT_UTIL_002,utility,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,source://FAB_P1A_004/electrical_cabinet_ujzfde2_high,downloaded_source_import_pending,4,SS_003;SS_016,OT_UTIL_003,utility,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,source://FAB_P1A_005/round_drain_cover_sdus0qk_4k,downloaded_source_import_pending,9,SS_003;SS_009,OT_UTIL_006,utility,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,source://FAB_P1A_014/desert_western_rock_medium_08_uk4cdch_high,downloaded_source_import_pending,30,SS_002;SS_006;SS_014;SS_020,OT_GROUND_005,ground,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,source://FAB_P1A_018/rusty_metal_barrel_teufceuda_high,downloaded_source_import_pending,3,SS_003;SS_011,OT_SCRAP_003,industrial,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,source://FAB_P1B_013/cracked_asphalt_tjmgfelew_4k,downloaded_source_import_pending,24,SS_001;SS_009;SS_019,OT_DECAL_003,decal,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,source://FAB_SUP_002/mud_stain_wbhtagkv_4k,downloaded_source_import_pending,52,SS_006;SS_014;SS_016;SS_018,OT_DECAL_002,decal,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,source://FAB_SUP_003/oil_stain_sdjmigi_4k,downloaded_source_import_pending,20,SS_003;SS_013;SS_014;SS_015;SS_016,OT_DECAL_006,decal,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,project:///Game/Fab/Megascans/3D/Sandstone_Rocky_Ground_vmjjfiv/Medium/vmjjfiv_tier_2/StaticMeshes/vmjjfiv_tier_2,existing_project_asset,20,SS_002;SS_006;SS_020,OT_GROUND_006,ground,Verify existing project path and reuse; do not duplicate,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,project:///Game/Maps/Sunscar/Art/Quixel/SandbagsSquare/SM_ydznbff_tier_2/StaticMeshes/SM_ydznbff_tier_2,existing_project_asset,18,SS_011;SS_019,OT_TAC_002,tactical,Verify existing project path and reuse; do not duplicate,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,map-owned://APPROVED_COVER_SKIN_02,map_owned_definition,26,SS_002;SS_006;SS_012;SS_016;SS_018,OT_TAC_007,tactical,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P1_remaining_sites,map-owned://MOD_FENCE_01,map_owned_definition,8,SS_001;SS_009;SS_019,OT_ARCH_004,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
