record_id,listing_name,publisher,package_kind,status,local_source,bytes,dimensions_m,tier1_tris,files,remaining_gate
FAB_P1A_005,Round Drain Cover,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/round_drain_cover_sdus0qk_4k.zip,63026881,0.009 m,,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1A_011,Military Trenches Ground Patch Rock S 04,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/military_trenches_ground_patch_rock_s_04_yd0lfcq_high.zip,19075214,0.82m x 0.75m x 0.07m,,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1A_012,Military Trenches Debris Patch Rock Corner,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/military_trenches_debris_patch_rock_corner_ydyqbjds_high.zip,18269533,0.55m x 0.65m x 0.12m,,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1A_013,Sandstone Rocky Ground,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/sandstone_rocky_ground_vmjjfiv_high.zip,63201296,3.04m x 2.13m x 0.61m,18952,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1A_014,Desert Western Rock Medium 08,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/desert_western_rock_medium_08_uk4cdch_high.zip,58909395,2.62m x 1.35m x 0.82m,10335,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1A_015,Dry Grass,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/dry_grass_tbbqejqr_high.zip,28144467,,2251,31,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1A_016,Dried Grass,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/dried_grass_xbrgaba_4k.zip,162064160,0.026 m,,10,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1A_017,Desert Debris,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/desert_debris_pblacidh2_4k.zip,31331177,0.015 m,,12,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1A_018,Rusty Metal Barrel,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/rusty_metal_barrel_teufceuda_high.zip,43958988,0.59m x 0.59m x 0.88m,9493,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1A_019,Old Shovel,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/old_shovel_uckmaibfa_high.zip,53749887,1.68m x 0.25m x 0.1m,,12,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1B_001,Old Wooden Door,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/old_wooden_door_wbmgdcpdw_high.zip,36105052,1.2m x 0.16m x 2.43m,9308,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1B_004,Garage Door,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/garage_door_tmnobhhya_4k.zip,88501365,0.029 m,,10,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1B_008,Old Metal Stool,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/old_metal_stool_ukknbeyaw_high.zip,52914839,0.39m x 0.35m x 0.58m,,12,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1B_009,Wooden Table,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/wooden_table_veigfjmaw_high.zip,49335139,0.93m x 0.53m x 0.65m,14176,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1B_010,Wooden Bench,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/wooden_bench_vlroadt_high.zip,39534493,1.24m x 0.2m x 0.28m,9999,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1B_011,Asphalt Fresh,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/asphalt_fresh_sfrofg0a_4k.zip,134660565,0.027 m,,10,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1B_012,Crushed Asphalt Ground,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/crushed_asphalt_ground_sjyjcbja_4k.zip,123828818,0.131 m,,10,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1B_013,Cracked Asphalt,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/cracked_asphalt_tjmgfelew_4k.zip,130618474,0.009 m,,10,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1B_014,Asphalt Debris Pack,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/asphalt_debris_pack_tlhjacuva_high.zip,53844694,0.16m x 0.14m x 0.04m,25150,10,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1B_015,Wall Paint,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/wall_paint_qj2luvs0_4k.zip,17117207,0.002 m,,10,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1B_016,Stucco Wall,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/stucco_wall_vigrejf_4k.zip,98798840,0.013 m,,10,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1B_017,Flaked Paint Wall,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/flaked_paint_wall_vhqkeff_4k.zip,78024323,0.02 m,,10,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_SUP_001,Military Trenches Decal Metal Rust 01,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/military_trenches_decal_metal_rust_01_ydzmbgd_4k.zip,4049944,0.002 m,,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_SUP_002,Mud Stain,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/mud_stain_wbhtagkv_4k.zip,39050890,0 m,,4,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_SUP_003,Oil Stain,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/oil_stain_sdjmigi_4k.zip,48986793,0.011 m,,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P0_001,Military Trench Megascans Sample,Quixel Megascans,launcher_project,downloaded_local_staging_verified,Assets/FabDownloads/UnrealPacks/MilitaryTrenchMegascansSa,11315069589,UE inspection required,,2030,Open with UE 5.8 staging workflow and measure selected assets before dependency-safe migration
FAB_P0_002,City Sample Vehicles,Epic Games,launcher_content_pack,downloaded_local_staging_verified,Assets/FabDownloads/UnrealPacks/OfficialAssetStaging/Content/CitySampleVehicles,7943748524,UE inspection required,,1405,Open with UE 5.8 staging workflow and measure selected assets before dependency-safe migration
FAB_P1A_001,Junkyard,Quixel Megascans,launcher_content_pack,downloaded_local_staging_verified,Assets/FabDownloads/UnrealPacks/OfficialAssetStaging/Content/Scene_Junkyard,3616361987,UE inspection required,,487,Open with UE 5.8 staging workflow and measure selected assets before dependency-safe migration
FAB_P1B_005,Tarp,Quixel Megascans,not_downloaded,deferred_price_changed,,0,,,0,Use map-owned canopy plane with existing MI_OT_Canvas unless a verified-free official alternative is later selected
FAB_P1B_006,Tarp,Quixel Megascans,not_downloaded,deferred_price_changed,,0,,,0,Use map-owned canopy plane with existing MI_OT_Canvas unless a verified-free official alternative is later selected
