candidate_id,site_id,site_name,bom_id,class,asset_role,planned_asset_ref,source_state,cluster_id,x_m,y_m,z_resolution,yaw_deg,scale,band,placement_policy,resolution_status,collision,nanite,hard_rule,ue_required
SS_001_UTILITY_001,SS_001,Attacker Spawn and Extraction,OT_UTIL_009,utility,Lamps poles and fixtures,map-owned://OT_LAMP_01,map_owned_definition,SS_001_UTILITY_C01,-121.732,-95.464,socket_or_trace_in_ue,274.63,1.0092,east_edge,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Simple capsule,No,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_UTILITY_002,SS_001,Attacker Spawn and Extraction,OT_UTIL_009,utility,Lamps poles and fixtures,map-owned://OT_FIXTURE_01,map_owned_definition,SS_001_UTILITY_C01,-137.35,-91.172,socket_or_trace_in_ue,170.67,1.0305,north_edge,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Simple capsule,No,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_DECAL_001,SS_001,Attacker Spawn and Extraction,OT_DECAL_003,decal,Ground breakup and dust edges,source://FAB_P1B_013/cracked_asphalt_tjmgfelew_4k,downloaded_source_import_pending,SS_001_DECAL_C01,-121.209,-99.09,socket_or_trace_in_ue,273.71,1.8957,east_edge,socket_or_projected,asset_candidate_resolved_transform_still_candidate,None,Not applicable,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_DECAL_002,SS_001,Attacker Spawn and Extraction,OT_DECAL_005,decal,Spawn road and service markings,map-owned://OT_SPAWN_MARKING_01,map_owned_definition,SS_001_DECAL_C01,-138.117,-101.807,socket_or_trace_in_ue,97.29,1.0878,west_edge,socket_or_projected,asset_candidate_resolved_transform_still_candidate,None,No,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_DECAL_003,SS_001,Attacker Spawn and Extraction,OT_DECAL_005,decal,Spawn road and service markings,map-owned://OT_SPAWN_MARKING_01,map_owned_definition,SS_001_DECAL_C01,-122.051,-106.306,socket_or_trace_in_ue,275.88,0.9496,east_edge,socket_or_projected,asset_candidate_resolved_transform_still_candidate,None,No,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_DECAL_004,SS_001,Attacker Spawn and Extraction,OT_DECAL_003,decal,Ground breakup and dust edges,source://FAB_P1B_013/cracked_asphalt_tjmgfelew_4k,downloaded_source_import_pending,SS_001_DECAL_C01,-134.718,-106.852,socket_or_trace_in_ue,0.27,1.8445,south_edge,socket_or_projected,asset_candidate_resolved_transform_still_candidate,None,Not applicable,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_DECAL_005,SS_001,Attacker Spawn and Extraction,OT_DECAL_005,decal,Spawn road and service markings,map-owned://OT_SPAWN_MARKING_01,map_owned_definition,SS_001_DECAL_C02,-128.436,-91.025,socket_or_trace_in_ue,173.95,1.0414,north_edge,socket_or_projected,asset_candidate_resolved_transform_still_candidate,None,No,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_DECAL_006,SS_001,Attacker Spawn and Extraction,OT_DECAL_005,decal,Spawn road and service markings,map-owned://OT_SPAWN_MARKING_01,map_owned_definition,SS_001_DECAL_C02,-137.722,-102.037,socket_or_trace_in_ue,99.51,1.0878,west_edge,socket_or_projected,asset_candidate_resolved_transform_still_candidate,None,No,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_DECAL_007,SS_001,Attacker Spawn and Extraction,OT_DECAL_003,decal,Ground breakup and dust edges,source://FAB_P1B_013/cracked_asphalt_tjmgfelew_4k,downloaded_source_import_pending,SS_001_DECAL_C02,-128.581,-92.166,socket_or_trace_in_ue,176.72,0.8031,north_edge,socket_or_projected,asset_candidate_resolved_transform_still_candidate,None,Not applicable,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_DECAL_008,SS_001,Attacker Spawn and Extraction,OT_DECAL_003,decal,Ground breakup and dust edges,source://FAB_P1B_013/cracked_asphalt_tjmgfelew_4k,downloaded_source_import_pending,SS_001_DECAL_C02,-122.216,-106.243,socket_or_trace_in_ue,277.63,1.394,east_edge,socket_or_projected,asset_candidate_resolved_transform_still_candidate,None,Not applicable,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_001,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C01,-124.514,-106.945,terrain_trace_in_ue,351.21,1.1016,south_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_002,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C01,-134.562,-91.15,terrain_trace_in_ue,175.6,1.0561,north_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_003,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C01,-124.306,-90.917,terrain_trace_in_ue,173.41,1.0027,north_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_004,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C01,-137.656,-100.114,terrain_trace_in_ue,80.56,1.068,west_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_005,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C01,-130.171,-106.44,terrain_trace_in_ue,9.09,0.8298,south_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_006,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C02,-132.11,-90.676,terrain_trace_in_ue,189.46,0.8839,north_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_007,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C02,-121.52,-106.197,terrain_trace_in_ue,9.52,0.9861,south_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_008,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C02,-126.264,-106.599,terrain_trace_in_ue,1.59,0.9468,south_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_009,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C02,-137.912,-100.338,terrain_trace_in_ue,94.03,1.0554,west_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_010,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C02,-122.222,-95.981,terrain_trace_in_ue,263.99,0.7925,east_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_011,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C03,-130.468,-105.837,terrain_trace_in_ue,355.95,0.9975,south_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_012,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C03,-132,-91.914,terrain_trace_in_ue,172.59,0.7577,north_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_013,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C03,-121.113,-105.086,terrain_trace_in_ue,270.68,0.9722,east_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_014,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C03,-122.917,-91.566,terrain_trace_in_ue,187.83,0.7214,north_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_015,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C03,-133.225,-106.146,terrain_trace_in_ue,359.12,1.1135,south_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_GROUND_016,SS_001,Attacker Spawn and Extraction,OT_GROUND_003,ground,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,SS_001_GROUND_C04,-124.227,-91.105,terrain_trace_in_ue,181.35,0.9251,north_edge,seeded_scatter,asset_candidate_resolved_transform_still_candidate,None,Unnecessary,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_VEGETATION_001,SS_001,Attacker Spawn and Extraction,OT_VEG_001,vegetation,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_B,staged_pack_asset,SS_001_VEGETATION_C01,-130.491,-106.833,terrain_trace_in_ue,352.69,1.0996,south_edge,seeded_pcg,asset_candidate_resolved_transform_still_candidate,None,Material dependent,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_VEGETATION_002,SS_001,Attacker Spawn and Extraction,OT_VEG_001,vegetation,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_A,staged_pack_asset,SS_001_VEGETATION_C01,-126.11,-90.767,terrain_trace_in_ue,182.65,1.1745,north_edge,seeded_pcg,asset_candidate_resolved_transform_still_candidate,None,Material dependent,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_VEGETATION_003,SS_001,Attacker Spawn and Extraction,OT_VEG_001,vegetation,Dry grass,source://FAB_P1A_015/dry_grass_tbbqejqr_high,downloaded_source_import_pending,SS_001_VEGETATION_C01,-121.706,-97.958,terrain_trace_in_ue,262.65,0.8653,east_edge,seeded_pcg,asset_candidate_resolved_transform_still_candidate,None,Material dependent,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_VEGETATION_004,SS_001,Attacker Spawn and Extraction,OT_VEG_001,vegetation,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_B,staged_pack_asset,SS_001_VEGETATION_C01,-138.621,-102.784,terrain_trace_in_ue,86.46,0.9275,west_edge,seeded_pcg,asset_candidate_resolved_transform_still_candidate,None,Material dependent,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_VEGETATION_005,SS_001,Attacker Spawn and Extraction,OT_VEG_001,vegetation,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_A,staged_pack_asset,SS_001_VEGETATION_C01,-138.41,-107.185,terrain_trace_in_ue,91.68,1.1474,west_edge,seeded_pcg,asset_candidate_resolved_transform_still_candidate,None,Material dependent,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_VEGETATION_006,SS_001,Attacker Spawn and Extraction,OT_VEG_001,vegetation,Dry grass,source://FAB_P1A_015/dry_grass_tbbqejqr_high,downloaded_source_import_pending,SS_001_VEGETATION_C01,-130.016,-105.983,terrain_trace_in_ue,1.64,1.03,south_edge,seeded_pcg,asset_candidate_resolved_transform_still_candidate,None,Material dependent,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_VEGETATION_007,SS_001,Attacker Spawn and Extraction,OT_VEG_001,vegetation,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_B,staged_pack_asset,SS_001_VEGETATION_C02,-121.903,-99.874,terrain_trace_in_ue,276.08,1.0558,east_edge,seeded_pcg,asset_candidate_resolved_transform_still_candidate,None,Material dependent,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_VEGETATION_008,SS_001,Attacker Spawn and Extraction,OT_VEG_001,vegetation,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_A,staged_pack_asset,SS_001_VEGETATION_C02,-122.54,-105.684,terrain_trace_in_ue,8.26,0.8621,south_edge,seeded_pcg,asset_candidate_resolved_transform_still_candidate,None,Material dependent,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_002_ARCHITECTURE_001,SS_002,Dry Canal Entrance,OT_ARCH_001,architecture,Plain wall skins and caps,map-owned://MOD_WALL_04,map_owned_definition,SS_002_ARCHITECTURE_C01,-123.176,-21.783,socket_or_trace_in_ue,270.52,1,canal_east_bank,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Graybox authoritative,No,Preserve culvert clearance and canal center path,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_002_ARCHITECTURE_002,SS_002,Dry Canal Entrance,OT_ARCH_001,architecture,Plain wall skins and caps,map-owned://MOD_WALL_02,map_owned_definition,SS_002_ARCHITECTURE_C01,-128.79,-8.986,socket_or_trace_in_ue,90.05,1,canal_west_bank,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Graybox authoritative,No,Preserve culvert clearance and canal center path,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_002_ARCHITECTURE_003,SS_002,Dry Canal Entrance,OT_ARCH_001,architecture,Plain wall skins and caps,map-owned://MOD_WALL_04,map_owned_definition,SS_002_ARCHITECTURE_C01,-128.726,-21.599,socket_or_trace_in_ue,89.63,1,canal_west_bank,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Graybox authoritative,No,Preserve culvert clearance and canal center path,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_002_ARCHITECTURE_004,SS_002,Dry Canal Entrance,OT_ARCH_001,architecture,Plain wall skins and caps,map-owned://MOD_WALL_02,map_owned_definition,SS_002_ARCHITECTURE_C01,-128.823,-11.794,socket_or_trace_in_ue,90.34,1,canal_west_bank,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Graybox authoritative,No,Preserve culvert clearance and canal center path,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_002_ARCHITECTURE_005,SS_002,Dry Canal Entrance,OT_ARCH_001,architecture,Plain wall skins and caps,map-owned://MOD_WALL_04,map_owned_definition,SS_002_ARCHITECTURE_C01,-128.524,-22.411,socket_or_trace_in_ue,89.2,1,canal_west_bank,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Graybox authoritative,No,Preserve culvert clearance and canal center path,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_002_ARCHITECTURE_006,SS_002,Dry Canal Entrance,OT_ARCH_001,architecture,Plain wall skins and caps,map-owned://MOD_WALL_02,map_owned_definition,SS_002_ARCHITECTURE_C01,-123.272,-16.218,socket_or_trace_in_ue,269.59,1,canal_east_bank,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Graybox authoritative,No,Preserve culvert clearance and canal center path,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_002_ARCHITECTURE_007,SS_002,Dry Canal Entrance,OT_ARCH_001,architecture,Plain wall skins and caps,map-owned://MOD_WALL_04,map_owned_definition,SS_002_ARCHITECTURE_C02,-123.198,-21.649,socket_or_trace_in_ue,270.98,1,canal_east_bank,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Graybox authoritative,No,Preserve culvert clearance and canal center path,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_002_ARCHITECTURE_008,SS_002,Dry Canal Entrance,OT_ARCH_001,architecture,Plain wall skins and caps,map-owned://MOD_WALL_02,map_owned_definition,SS_002_ARCHITECTURE_C02,-128.595,-23.389,socket_or_trace_in_ue,89.06,1,canal_west_bank,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Graybox authoritative,No,Preserve culvert clearance and canal center path,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_002_TACTICAL_001,SS_002,Dry Canal Entrance,OT_TAC_007,tactical,Existing-cover art skins,map-owned://APPROVED_COVER_SKIN_02,map_owned_definition,SS_002_TACTICAL_C01,-123.409,-12.144,terrain_trace_in_ue,260.77,1,canal_east_bank,manual_only,asset_candidate_resolved_transform_still_candidate,Graybox authoritative,Selective,Preserve culvert clearance and canal center path,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_002_TACTICAL_002,SS_002,Dry Canal Entrance,OT_TAC_007,tactical,Existing-cover art skins,map-owned://APPROVED_COVER_SKIN_02,map_owned_definition,SS_002_TACTICAL_C01,-128.408,-22.832,terrain_trace_in_ue,83.69,1,canal_west_bank,manual_only,asset_candidate_resolved_transform_still_candidate,Graybox authoritative,Selective,Preserve culvert clearance and canal center path,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_002_TACTICAL_003,SS_002,Dry Canal Entrance,OT_TAC_007,tactical,Existing-cover art skins,map-owned://APPROVED_COVER_SKIN_02,map_owned_definition,SS_002_TACTICAL_C01,-123.156,-28.669,terrain_trace_in_ue,265.62,1,canal_east_bank,manual_only,asset_candidate_resolved_transform_still_candidate,Graybox authoritative,Selective,Preserve culvert clearance and canal center path,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_002_TACTICAL_004,SS_002,Dry Canal Entrance,OT_TAC_007,tactical,Existing-cover art skins,map-owned://APPROVED_COVER_SKIN_02,map_owned_definition,SS_002_TACTICAL_C02,-128.725,-20.291,terrain_trace_in_ue,95.67,1,canal_west_bank,manual_only,asset_candidate_resolved_transform_still_candidate,Graybox authoritative,Selective,Preserve culvert clearance and canal center path,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
