record_id,catalog_id,decision,listing_name,listing_id,publisher,url,price_snapshot_usd,price_evidence,listed_dimensions,mesh_type,formats,nanite_plan,assigned_sites,fit_status,verification_state,notes
FAB_P1A_011,NAT_001,Essential free selection,Military Trenches Ground Patch Rock S 04,d8aded40-25c6-40ec-9d10-6e5e15053222,Quixel Megascans,https://www.fab.com/listings/d8aded40-25c6-40ec-9d10-6e5e15053222,0.00,Free listing confirmed 2026-07-24,0.75 x 0.82 x 0.07 m,Open mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; no collision,"SS_002; SS_006; SS_008; SS_010; SS_020",Good small ground-breakup patch,Confirmed from listing,"PCG or manual edge dressing; never use as tactical collision"
FAB_P1A_012,NAT_001,Essential free selection,Military Trenches Debris Patch Rock Corner,9c255b4f-d759-4504-bb68-3371d657d23f,Quixel Megascans,https://www.fab.com/listings/9c255b4f-d759-4504-bb68-3371d657d23f,0.00,Free listing confirmed 2026-07-24,0.65 x 0.55 x 0.12 m,Open mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; no collision,"SS_002; SS_008; SS_010; SS_020",Excellent wall-corner rubble dressing,Confirmed from listing,"Use with corner sockets and exclusion volumes"
FAB_P1A_013,NAT_002,Essential free selection,Sandstone Rocky Ground,d6c87516-52ea-40d0-a3e5-c1e52d4ad88f,Quixel Megascans,https://www.fab.com/listings/d6c87516-52ea-40d0-a3e5-c1e52d4ad88f,0.00,Free listing confirmed 2026-07-24,2.13 x 3.04 x 0.61 m,Open mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; custom/no collision depending placement,"SS_002; SS_006; SS_020",Good larger terrain-edge rock patch; too large for indiscriminate PCG,Confirmed from listing,"Manual placement at perimeter and canal edges only"
FAB_P1A_014,NAT_002,Essential free selection,Desert Western Rock Medium 08,11700737-077c-416b-a005-53d0b5e1e285,Quixel Megascans,https://www.fab.com/listings/11700737-077c-416b-a005-53d0b5e1e285,0.00,Free listing confirmed 2026-07-24,1.35 x 2.62 x 0.82 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; simple collision if tactical,"SS_002; SS_006; SS_020",Good medium perimeter rock and potential existing-cover skin,Confirmed from listing,"Manual placement only because 0.82 m height can become meaningful cover"
FAB_P1A_015,NAT_003,Essential free selection,Dry Grass,472c99c7-2d67-4190-9ad4-3bb04cfc80f3,Quixel Megascans,https://www.fab.com/listings/472c99c7-2d67-4190-9ad4-3bb04cfc80f3,0.00,Free listing confirmed 2026-07-24,Not stated,Masked plant mesh,"FBX; GLTF",Test masked Nanite versus traditional foliage,"SS_002; SS_006; SS_008; SS_014; SS_016; SS_020",Good sparse vegetation family; exact bounds unresolved,Partial; bounds require file inspection,"Use low-density deterministic PCG outside routes and openings"
FAB_P1A_016,NAT_003,Essential free selection,Dried Grass,1b83d08e-77fd-4885-9dce-32d8658b5559,Quixel Megascans,https://www.fab.com/listings/1b83d08e-77fd-4885-9dce-32d8658b5559,0.00,Free listing confirmed 2026-07-24,2 x 2 m scan area,Surface material,"Texture set; GLTF",Not applicable,"SS_002; SS_006; SS_008; SS_014; SS_016; SS_020",Good vegetation ground-blend material,Confirmed from listing,"Use beneath sparse plant meshes rather than creating lush continuous grass"
FAB_P1A_017,NAT_001,Essential free selection,Desert Debris,5502b77c-2ffa-40b6-9101-6010e062f09c,Quixel Megascans,https://www.fab.com/listings/5502b77c-2ffa-40b6-9101-6010e062f09c,0.00,Free listing confirmed 2026-07-24,0.33 x 0.33 m scan area,Atlas/debris material,Texture set,Not applicable,"SS_002; SS_008; SS_014; SS_017; SS_020",Good tiny debris atlas for low-risk breakup,Confirmed from listing,"Keep sparse; atlas includes mixed debris and must not make Old Town read as a wasteland"
FAB_P1A_018,PROP_007,Essential free selection,Rusty Metal Barrel,0e8e7e30-23e3-47ec-86a0-fc69ea0b8d65,Quixel Megascans,https://www.fab.com/listings/0e8e7e30-23e3-47ec-86a0-fc69ea0b8d65,0.00,Free listing confirmed 2026-07-24,0.59 x 0.59 x 0.88 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; simple cylinder collision,"SS_003; SS_013; SS_014; SS_015; SS_016",Excellent waist-high industrial prop but can affect cover,Confirmed from listing,"Manual placement; do not create explosive gameplay implication unless logic is added"
FAB_P1A_019,PROP_008,Useful free dressing,Old Shovel,37895234-35a6-4998-9c80-0f1290f0c3e4,Quixel Megascans,https://www.fab.com/listings/37895234-35a6-4998-9c80-0f1290f0c3e4,0.00,Free listing confirmed 2026-07-24,0.25 x 1.68 x 0.10 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Unnecessary,"SS_003; SS_014; SS_015",Good single environmental-storytelling prop,Confirmed from listing,"Use one or two instances only; no collision"
FAB_P1A_020,NAT_002,Hold for outer districts,Sandstone Cliff,86cfbc5f-3ae2-4231-87b0-f10eb16c17ca,Quixel Megascans,https://www.fab.com/listings/86cfbc5f-3ae2-4231-87b0-f10eb16c17ca,0.00,Free listing confirmed 2026-07-24,0.53 x 4.75 x 2.66 m,Open mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; custom collision,"Old Town boundary only if required; primarily outer districts",Too large and visually geological for most Old Town streets,Confirmed from listing,"Retain for later quarry/wadi work rather than importing during the P0 Old Town pass"
FAB_P1A_021,PROP_009,Hold pending need,Modular Metal Guardrail Kit,e9c477ce-b9e7-47c0-946a-d6a9b9b7ac4f,Quixel Megascans,https://www.fab.com/listings/e9c477ce-b9e7-47c0-946a-d6a9b9b7ac4f,Unknown,Price not exposed in public result; account confirmation required,0.20 x 4.67 x 0.68 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; simple collision,"SS_003; SS_015; SS_016",Good road/industrial guardrail but not a 2-2.6 m perimeter fence,Confirmed except price,"Use only for canal or service-road safety edge; not needed for first look-development slice"
FAB_P1A_022,PROP_009,Reject for scale/style,Modular Iron Fence,14d2c19f-02f3-4322-a356-1675e25208f1,Quixel Megascans,https://www.fab.com/listings/14d2c19f-02f3-4322-a356-1675e25208f1,Unknown,Price not exposed in public result; account confirmation required,0.04 x 0.81 x 0.40 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Unnecessary,"None in P0",Too small and visually decorative for Sunscar perimeter fencing,Confirmed except price,"Reject rather than heavily scaling or repeating an inappropriate palace-style fence"
