stage_order,source_record_id,listing_name,staging_group,production_destination,selection_limit,inspection_focus,explicit_exclusions,status
17,FAB_P1A_011,Military Trenches Ground Patch Rock S 04,Debris,/Game/Maps/Sunscar/Art/Nature/Debris,1 mesh plus direct dependencies,"Confirm 82 x 75 x 7 cm orientation; surface blending","Collision; automatic tactical placement",Pending staging
18,FAB_P1A_012,Military Trenches Debris Patch Rock Corner,Debris,/Game/Maps/Sunscar/Art/Nature/Debris,1 mesh plus direct dependencies,"Confirm 65 x 55 x 12 cm; corner socket orientation","Collision; center-route scatter",Pending staging
19,FAB_P1A_013,Sandstone Rocky Ground,Rocks,/Game/Maps/Sunscar/Art/Nature/Rocks,1 mesh plus direct dependencies,"Confirm 304 x 213 x 61 cm orientation; Nanite; edge blending","Automatic dense PCG; complex player collision",Pending staging
20,FAB_P1A_014,Desert Western Rock Medium 08,Rocks,/Game/Maps/Sunscar/Art/Nature/Rocks,1 mesh plus direct dependencies,"Confirm 262 x 135 x 82 cm orientation; tactical silhouette; simple collision","Random PCG inside streets; source complex collision",Pending staging
21,FAB_P1A_015,Dry Grass,Foliage,/Game/Maps/Sunscar/Art/Nature/Foliage,Approved plant variations only,"Bounds; masked overdraw; Nanite comparison; wind compatibility","Lush density; collision; unused biome assets",Pending staging
22,FAB_P1A_016,Dried Grass,Materials,/Game/Maps/Sunscar/Art/Materials/Source,One 2K runtime texture set,"2 m scale; tint; blend beneath foliage","Continuous grass layer",Pending staging
23,FAB_P1A_017,Desert Debris,Debris,/Game/Maps/Sunscar/Art/Nature/Debris,Approved atlas pieces only,"Atlas breakup; scale; visual category; no-collision use","Wasteland-density scatter; unreadable mixed trash",Pending staging
24,FAB_P1A_002,Electrical Box,Utility,/Game/Maps/Sunscar/Art/Props/Utility,1 mesh plus direct dependencies,"Confirm 43 x 38 x 26 cm; wall pivot; collision need","Automatic excessive repetition",Pending staging
25,FAB_P1A_003,Electric Box,Utility,/Game/Maps/Sunscar/Art/Props/Utility,1 mesh plus direct dependencies,"Confirm 102 x 98 x 24 cm orientation; wall/floor mounting","Complex collision; climbable placement",Pending staging
26,FAB_P1A_004,Electrical Cabinet,Utility,/Game/Maps/Sunscar/Art/Props/Utility,1 mesh plus direct dependencies,"Confirm 262 x 139 x 87 cm orientation; cover effect; simple collision","Automatic placement; unintended cover chains",Pending staging
27,FAB_P1A_005,Round Drain Cover,Decals,/Game/Maps/Sunscar/Art/Materials/Decals,One 2K decal/material set,"0.5 m scale; ground projection; wetness neutrality","Raised collision; excessive repetition",Pending staging
28,FAB_P1A_018,Rusty Metal Barrel,Tactical,/Game/Maps/Sunscar/Art/Props/Tactical,1 mesh plus direct dependencies,"Confirm 59 x 59 x 88 cm; cylinder collision; cover read","Explosive gameplay implication; random dense scatter",Pending staging
29,FAB_P1A_019,Old Shovel,Dressing,/Game/Maps/Sunscar/Art/Props/Dressing,1 mesh plus direct dependencies,"Confirm 168 x 25 x 10 cm orientation; pivot; no collision","More than two placed instances in first round",Pending staging
30,FAB_P0_021,Metal Water Tank,Utility,/Game/Maps/Sunscar/Art/Props/Utility,1 mesh plus direct dependencies,"Confirm 215 x 71 x 65 cm orientation; roof placement; Nanite","Scaling into primary water tower tank",Pending staging
31,FAB_P1B_001,Old Wooden Door,Architecture,/Game/Maps/Sunscar/Art/Architecture/Doors,1 mesh plus direct dependencies,"Confirm 120 x 243 x 16 cm orientation; pivot; Western styling review","Using source mesh as gameplay interaction logic or complex collision",Pending staging
32,FAB_P1B_004,Garage Door,Materials,/Game/Maps/Sunscar/Art/Materials/Source,One 2K runtime texture set,"2 m scale; galvanized response; shutter UV direction","Treating material as a structural/openable door",Pending staging
33,FAB_P1B_005,Tarp,Materials,/Game/Maps/Sunscar/Art/Materials/Source,One 2K runtime texture set,"2 m scale; two-sided shading; canopy UV response","Source geometry; cloth simulation in first pass",Pending staging
34,FAB_P1B_006,Tarp,Materials,/Game/Maps/Sunscar/Art/Materials/Source,One 2K runtime texture set,"2 m scale; weathering level; color compatibility","More than 35 percent canopy coverage",Pending staging
35,FAB_P1B_008,Old Metal Stool,Dressing,/Game/Maps/Sunscar/Art/Props/Dressing,1 mesh plus direct dependencies,"Confirm 39 x 35 x 58 cm orientation; pivot; collision need","Tactical cover use; dense furniture scatter",Pending staging
36,FAB_P1B_009,Wooden Table,Dressing,/Game/Maps/Sunscar/Art/Props/Dressing,1 mesh plus direct dependencies,"Confirm 93 x 53 x 65 cm orientation; simple collision; mantle risk","Center-route placement; unintended climb chain",Pending staging
37,FAB_P1B_010,Wooden Bench,Dressing,/Game/Maps/Sunscar/Art/Props/Dressing,1 mesh plus direct dependencies,"Confirm 124 x 20 x 28 cm orientation; actual silhouette and use","Treating 28 cm piece as standing cover",Pending staging
