id,priority,publisher,source_type,candidate,planned_use,primary_zones,target_count,acquisition_state,price_license_check,url,notes
PROP_004,P1,Quixel Megascans,Prop family,Urban drain and pipe assets,"Dry canal pump station and roof drainage","F; G",3,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?lang=en,"Manual near traversal; procedural only on inaccessible walls"
PROP_005,P1,Quixel Megascans,Prop family,Urban weathered street lamp,"Civic center checkpoint and bazaar edge","B; C; E",2,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?lang=en,"Most lamps remain unlit in hard daylight"
PROP_006,P0,Quixel Megascans,Prop family,Urban crates and scaffold planks,"Bazaar freight depot and salvage dressing","E; F",4,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?lang=en,"Manual cover cluster first then instanced decoration"
PROP_007,P0,Quixel Megascans,Prop family,Tires and industrial rubber objects,"Salvage yard and motor pool","F",2,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=urban,"Use clusters rather than uniform scatter"
PROP_008,P1,Quixel Megascans,Prop family,Residential chairs benches and small table,"Tea House edge and selected interiors","D",3,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=South,"Do not fill every interior"
PROP_009,P1,Quixel Megascans,Prop family,Wood or metal fence panels,"Consulate salvage and substation perimeters","C; F",3,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=South,"Collision and sightline impact require manual placement"
PROP_010,P1,Quixel Megascans,Prop family,Canvas or patched shade elements,"Covered bazaar and Tea House","D; E",2,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=urban,"Check masked material and shadow cost"
NAT_001,P0,Quixel Megascans,Natural mesh family,Small desert rubble and broken masonry,"Wall edges canal and courtyards","All zones",3,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=relic,"PCG with route exclusions after manual tactical rubble"
NAT_002,P1,Quixel Megascans,Natural mesh family,Small sandstone rocks,"Canal perimeter and historic wall bases","A; G",2,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans,"Nanite candidate"
NAT_003,P1,Quixel Megascans,Vegetation family,Dry weeds and grass tufts,"Canal cracks yards and wall edges","All exterior zones",3,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans,"Sparse deterministic PCG"
DECAL_001,P0,Quixel Megascans,Decal family,Cracks chips and exposed masonry,"Civic and historic walls","A; B; C; D",3,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans,"Avoid uniform damage coverage"
DECAL_002,P1,Quixel Megascans,Decal family,Rust leaks grime and utility stains,"Industrial and canal structures","E; F; G",3,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans,"Use under pipes roof drains and metal fixtures"
DECAL_003,P1,Quixel Megascans,Decal family,Dust edge and ground breakup,"Plaza courtyard roads and canal","B; F; G",2,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans,"May be replaced by vertex or material blending if cheaper"
