module_id,unreal_asset_name,category,width_m,depth_m,height_m,variants,collision,nanite,primary_sites,construction_notes
MOD_BAZ_03,SM_OT_CanopyPlane_3x3,Bazaar shade,3.0,3.0,0.04,4,"No collision",No,"SS_004; SS_017","Static shallow-sag silhouette; tarp material; underside at or above 2.5 m"
MOD_BAZ_04,SM_OT_CanopyPlane_5x35,Bazaar shade,5.0,3.5,0.04,4,"No collision",No,"SS_004; SS_017","Large panel; never span a combat route without visibility review"
MOD_BAZ_05,SM_OT_CanopyPole_30,Bazaar shade,0.09,0.09,3.0,3,"Simple capsule",No,"SS_004; SS_017","Place outside 1.2 m pedestrian clearance and weapon-view center"
MOD_FENCE_01,SM_OT_FenceBase_2x06,Fence,2.0,0.35,0.6,3,"Simple box",No,"SS_014; SS_016","Supports low free corrugated panel without scaling it vertically"
MOD_FENCE_02,SM_OT_FencePanel_2x24,Fence,2.0,0.08,2.4,4,"Simple box",No,"SS_012; SS_014; SS_016","Map-owned fallback full-height panel"
MOD_GATE_01,SM_OT_Gate_6x24,Fence,6.0,0.12,2.4,2,"Simple boxes",No,"SS_011; SS_014; SS_016","Static open first pass; clear width must remain 6 m"
MOD_GATE_02,SM_OT_Gate_8x24,Fence,8.0,0.12,2.4,2,"Simple boxes",No,"SS_011; SS_014","Static open first pass; clear width must remain 8 m"
MOD_UTIL_01,SM_OT_Pipe_Straight_2m,Utility,0.12,0.12,2.0,4,"No collision or simple capsule",No,"SS_003; SS_006; SS_016; SS_018","Modular straight pipe with 0.5 m and 1 m companions"
MOD_UTIL_02,SM_OT_Pipe_Elbow_90,Utility,0.3,0.3,0.3,3,"No collision",No,"SS_003; SS_006; SS_016; SS_018","Matches straight-pipe diameter"
MOD_UTIL_03,SM_OT_Conduit_1m,Utility,0.05,0.05,1.0,3,"No collision",No,"SS_003; SS_016; SS_018","Visual detail only; cannot form ledges"
MOD_SIGN_01,SM_OT_SignBoard_12x06,Signage,1.2,0.05,0.6,6,"No collision",No,"SS_004; SS_007; SS_011; SS_017; SS_018","Material-instance text/graphic; avoid real-world brands"
MOD_SIGN_02,SM_OT_WarningPlate_04x03,Signage,0.4,0.02,0.3,6,"No collision",No,"SS_003; SS_011; SS_016; SS_018","Small utility warning plate"
MOD_TOWER_01,SM_OT_WaterTower_Primary,Landmark,6.0,6.0,15.0,1,"Custom simple collision",No,"SS_006","Assembly actor rather than one mesh: legs; braces; 5-7 m tank; platform; ladder"
MOD_CURB_01,SM_OT_Curb_2m,Ground trim,2.0,0.3,0.15,3,"Simple box",No,"SS_001; SS_009; SS_015; SS_019","Optional broken-end variants; never create a movement snag"
