bom_id,class,asset_role,source_record_or_pack,publisher,acquisition_state,target_instances,unique_variant_target,scale_min,scale_max,placement,collision,nanite,staging_gate,fallback
OT_DECAL_003,decal,Ground breakup and dust edges,FAB_P1B_013; official surface masks,Quixel Megascans,Acquire free,64,4,0.75,2.00,Scripted,None,Not applicable,Ground projection review,Material blend
OT_DECAL_004,decal,Signs warning plates and shop boards,MOD_SIGN_01-02,Map-owned,Ready,48,12,0.90,1.10,Socket/manual,None,No,No real brands or unreadable clutter,Blank sign board
OT_DECAL_005,decal,Spawn road and service markings,Map-owned decal set,Map-owned,Ready,18,6,0.90,1.10,Manual,None,No,Spawn readability review,None
OT_DECAL_006,decal,Oil water and service stains,FAB_SUP_003,Quixel Megascans,Acquire free,20,1,0.60,1.60,Socket/scripted,None,Not applicable,Verify projection material in 5.8,Material blend
OT_GROUND_001,ground,Small rock ground patch,FAB_P1A_011,Quixel Megascans,Already imported,60,1,0.85,1.15,Scripted/manual,None,Provisional,Verify existing asset path,None
OT_GROUND_002,ground,Corner rubble patch,FAB_P1A_012,Quixel Megascans,Acquire free,76,1,0.85,1.15,Socket/scripted,None,Provisional,Wall-corner conformity,None
OT_GROUND_003,ground,Asphalt fragment pack,FAB_P1B_014,Quixel Megascans,Acquire free,94,4,0.70,1.20,Deterministic scatter,None,Unnecessary,Route exclusion review,None
OT_GROUND_004,ground,Desert debris small,FAB_P1A_017,Quixel Megascans,Acquire free,84,4,0.75,1.20,Deterministic scatter,None,Per mesh,Verify no modern trash bias,Ground patch
OT_GROUND_005,ground,Medium desert rock,FAB_P1A_014,Quixel Megascans,Acquire free,30,1,0.90,1.05,Manual,Simple if tactical,Provisional,Cover and sightline review,Existing rock proxy
OT_GROUND_006,ground,Rocky terrain edge,FAB_P1A_013,Quixel Megascans,Already imported,20,1,0.95,1.05,Manual,None or simple,Provisional,Verify existing asset path,Existing terrain
OT_GROUND_007,ground,Small rubble variant set,PACK_001 selection,Quixel Megascans,Acquire free pack,140,6,0.70,1.20,Deterministic scatter,None,Per mesh,Resolve internal mesh paths,Ground patch
OT_VEG_001,vegetation,Dry grass,FAB_P1A_015,Quixel Megascans,Acquire free,110,1,0.75,1.20,Deterministic PCG,None,Material dependent,Masked material and wind review,None
OT_VEG_002,vegetation,Dried grass,FAB_P1A_016,Quixel Megascans,Acquire free,74,1,0.75,1.20,Deterministic PCG,None,Material dependent,Masked material and wind review,None
OT_VEG_003,vegetation,Sparse weed variant set,FAB_P1A_015; FAB_P1A_016,Quixel Megascans,Reuse acquired grass variants,36,2,0.70,1.15,Deterministic PCG,None,Material dependent,Create variation through seed rotation scale and material tint,Use dry-grass variants
TOTAL,all,Old Town first-round instances,All approved sources,Official/map-owned,Planned,2350,0,0,0,Mixed,Mixed,Mixed,See rows,None
